Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Licenses,,1033,,,PL057,,,,,,
,,1033,,,PL089,,,,,,
,,1033,,,PL090,,,,,,
,,1033,,,PL090B,,,,,,
,,1033,,,PL090C,,,,,,
,,1033,,,PL090F,,,,,,
,,1033,,,PL090G,,,,,,
,,1033,,,PL090HS,,,,,,
,,1033,,,PL090JS,,,,,,
,,1033,,,PL1016,,,,,,
,,1033,,,PL1129,,,,,,
,,1033,,,PL1130,,,,,,
,,1033,,,PL1133,,,,,,
,,1033,,,PL1153,,,,,,
,,1033,,,PL1170,,,,,,
,,1033,,,PL1194,,,,,,
,,1033,,,PL293B,,,,,,
,,1033,,,PL318,,,,,,
,,1033,,,PL373S,,,,,,
,,1033,,,PL537,,,,,,
,,1033,,,PL609,,,,,,
,,1033,,,PL609C,,,,,,
,,1033,,,PL636,,,,,,
,,1033,,,PL882,,,,,,
,,1033,,,SG001,,,,,,
,,1033,,,SG004,,,,,,
,,1033,,,SG006,,,,,,
,,1033,,,SG007,,,,,,
,,1033,,,SG011,,,,,,
,,1033,,,SG015,,,,,,
,,1033,,,SG020,,,,,,
,,1033,,,SG036,,,,,,
,,1033,,,SG048,,,,,,
,,1033,,,PL1217,,,,,,
,,1033,,,PL1219,,,,,,
,,1033,,,PL1231,,,,,,
,,1033,,,PL1233,,,,,,
,,1033,,,AMI_RingVeiVest,,,,,,
,,1033,,,BA_Fram_H_Nord,,,,,,
,,1033,,,BA_SNORRE,,,,,,
,,1033,,,BA_STATFJORDO,,,,,,
,,1033,,,BA_SYGNA,,,,,,
,,1033,,,BA_VEGA,,,,,,
,,1033,,,TL_Knarr_Gas_Pipeline,,,,,,
,,1033,,,TL_OF,,,,,,
