K1 ;K2;K3;K4;K5
Lisences;SG048;.;.;.
Lisences;SG048;Agreements;.;.
Lisences;SG048;Agreements;Commercial;.
Lisences;SG048;Agreements;Ownership;.
Lisences;SG048;Authorities;.;.
Lisences;SG048;Authorities;MPE;.
Lisences;SG048;Authorities;NPD;.
Lisences;SG048;Authorities;PSA;.
Lisences;SG048;Authorities;Other authorities;.
Lisences;SG048;Financial;.;.
Lisences;SG048;Financial;AFE;.
Lisences;SG048;Financial;WPB;.
Lisences;SG048;Financial;Cash calls;.
Lisences;SG048;Financial;Estimates;.
Lisences;SG048;Financial;Insurance;.
Lisences;SG048;Financial;Lease accounting;.
Lisences;SG048;Financial;Joint interest billing;.
Lisences;SG048;Financial;RNB;.
Lisences;SG048;Financial;Annual status report;.
Lisences;SG048;General information;.;.
Lisences;SG048;General information;Miscellaneous;.
Lisences;SG048;General information;Miscellaneous;Deleted documents
Lisences;SG048;General information;Miscellaneous;To be deleted
Lisences;SG048;General information;3rd party information;.
Lisences;SG048;General information;4th party information;.
Lisences;SG048;General information;4th party information;Publications
Lisences;SG048;General information;5th party information;.
Lisences;SG048;General information;5th party information;Press releases
Lisences;SG048;HSEQ;.;.
Lisences;SG048;HSEQ;Audits;.
Lisences;SG048;HSEQ;Incidents;.
Lisences;SG048;HSEQ;Plans and policies;.
Lisences;SG048;HSEQ;Statistics;.
Lisences;SG048;HSEQ;Studies;.
Lisences;SG048;Limited;.;.
Lisences;SG048;Limited;Operator - Partner only;.
Lisences;SG048;Limited;Operator only;.
Lisences;SG048;Meetings;.;.
Lisences;SG048;Procurement;.;.
Lisences;SG048;Procurement;Administration;.
Lisences;SG048;Procurement;Confidential;.
Lisences;SG048;Projects;.;.
Lisences;SG048;Projects;Development projects;.
Lisences;SG048;Projects;Other;.
Lisences;SG048;Strategies and plans;.;.
Lisences;SG048;Strategies and plans;Long term;.
Lisences;SG048;Strategies and plans;Short term;.
Lisences;SG048;Reporting;.;.
Lisences;SG048;Reporting;Monthly reports;.
Lisences;SG048;Reporting;HSE;.
Lisences;SG048;Reporting;Projects;.
Lisences;SG048;Reporting;Production;.
Lisences;SG048;Reporting;Subsurface;.
Lisences;SG048;Subsurface;.;.
Lisences;SG048;Subsurface;Geology and geophysics;.
Lisences;SG048;Subsurface;Reservoir;.
Lisences;SG048;Subsurface;Seismic;.
Lisences;SG048;Subsurface;Wells;.
Lisences;SG048;Subsurface;Common database;.
Lisences;PL1217;.;.;.
Lisences;PL1217;Agreements;.;.
Lisences;PL1217;Agreements;Commercial;.
Lisences;PL1217;Agreements;Ownership;.
Lisences;PL1217;Authorities;.;.
Lisences;PL1217;Authorities;MPE;.
Lisences;PL1217;Authorities;NPD;.
Lisences;PL1217;Authorities;PSA;.
Lisences;PL1217;Authorities;Other authorities;.
Lisences;PL1217;Financial;.;.
Lisences;PL1217;Financial;AFE;.
Lisences;PL1217;Financial;WPB;.
Lisences;PL1217;Financial;Cash calls;.
Lisences;PL1217;Financial;Estimates;.
