"K1 ;K2;K3;K4;K5			"
"Licences;PL950;.;.;.			"
"Licences;PL950;Agreements;.;.			"
"Licences;PL950;Agreements;Commercial;.			"
"Licences;PL950;Agreements;Ownership;.			"
"Licences;PL950;Authorities;.;.			"
"Licences;PL950;Authorities;MPE;.			"
"Licences;PL950;Authorities;NPD;.			"
"Licences;PL950;Authorities;PSA;.			"
"Licences;PL950;Authorities;Other authorities;.			"
"Licences;PL950;Financial;.;.			"
"Licences;PL950;Financial;AFE;.			"
"Licences;PL950;Financial;WPB;.			"
"Licences;PL950;Financial;Cash calls;.			"
"Licences;PL950;Financial;Estimates;.			"
"Licences;PL950;Financial;Insurance;.			"
"Licences;PL950;Financial;Lease accounting;.			"
"Licences;PL950;Financial;Joint interest billing;.			"
"Licences;PL950;Financial;RNB;.			"
"Licences;PL950;Financial;Annual status report;.			"
"Licences;PL950;General information;.;.			"
"Licences;PL950;General information;Miscellaneous;.			"
"Licences;PL950;General information;Miscellaneous;De	let	ed	documents"
"Licences;PL950;General information;Miscellaneous;To	be	d	eleted"
"Licences;PL950;General information;3rd party inform	ati	on	;."
"Licences;PL950;General information;4th party inform	ati	on	;."
"Licences;PL950;General information;4th party inform	ati	on	;Publications"
"Licences;PL950;General information;5th party inform	ati	on	;."
"Licences;PL950;General information;5th party inform	ati	on	;Press releases"
"Licences;PL950;HSEQ;.;.			"
"Licences;PL950;HSEQ;Audits;.			"
"Licences;PL950;HSEQ;Incidents;.			"
"Licences;PL950;HSEQ;Plans and policies;.			"
"Licences;PL950;HSEQ;Statistics;.			"
"Licences;PL950;HSEQ;Studies;.			"
"Licences;PL950;Limited;.;.			"
"Licences;PL950;Limited;Operator - Partner only;.			"
"Licences;PL950;Limited;Operator only;.			"
"Licences;PL950;Meetings;.;.			"
"Licences;PL950;Procurement;.;.			"
"Licences;PL950;Procurement;Administration;.			"
"Licences;PL950;Procurement;Confidential;.			"
"Licences;PL950;Projects;.;.			"
"Licences;PL950;Projects;Development projects;.			"
"Licences;PL950;Projects;Other;.			"
"Licences;PL950;Strategies and plans;.;.			"
"Licences;PL950;Strategies and plans;Long term;.			"
"Licences;PL950;Strategies and plans;Short term;.			"
"Licences;PL950;Reporting;.;.			"
"Licences;PL950;Reporting;Monthly reports;.			"
"Licences;PL950;Reporting;HSE;.			"
"Licences;PL950;Reporting;Projects;.			"
"Licences;PL950;Reporting;Production;.			"
"Licences;PL950;Reporting;Subsurface;.			"
"Licences;PL950;Subsurface;.;.			"
"Licences;PL950;Subsurface;Geology and geophysics;.			"
"Licences;PL950;Subsurface;Reservoir;.			"
"Licences;PL950;Subsurface;Seismic;.			"
"Licences;PL950;Subsurface;Wells;.			"
"Licences;PL950;Subsurface;Common database;.			"
Licences;PL1027;.;.;.
Licences;PL1027;Agreements;.;.
Licences;PL1027;Agreements;Commercial;.
Licences;PL1027;Agreements;Ownership;.
Licences;PL1027;Authorities;.;.
Licences;PL1027;Authorities;MPE;.
Licences;PL1027;Authorities;NPD;.
Licences;PL1027;Authorities;PSA;.
Licences;PL1027;Authorities;Other authorities;.
Licences;PL1027;Financial;.;.
Licences;PL1027;Financial;AFE;.
Licences;PL1027;Financial;WPB;.
Licences;PL1027;Financial;Cash calls;.
Licences;PL1027;Financial;Estimates;.
Licences;PL1027;Financial;Insurance;.
Licences;PL1027;Financial;Lease accounting;.
Licences;PL1027;Financial;Joint interest billing;.
Licences;PL1027;Financial;RNB;.
Licences;PL1027;Financial;Annual status report;.
Licences;PL1027;General information;.;.
Licences;PL1027;General information;Miscellaneous;.
Licences;PL1027;General information;Miscellaneous;Deleted documents
Licences;PL1027;General information;Miscellaneous;To be deleted
Licences;PL1027;General information;3rd party information;.
Licences;PL1027;General information;4th party information;.
Licences;PL1027;General information;4th party information;Publications
Licences;PL1027;General information;5th party information;.
Licences;PL1027;General information;5th party information;Press releases
Licences;PL1027;HSEQ;.;.
Licences;PL1027;HSEQ;Audits;.
Licences;PL1027;HSEQ;Incidents;.
Licences;PL1027;HSEQ;Plans and policies;.
Licences;PL1027;HSEQ;Statistics;.
Licences;PL1027;HSEQ;Studies;.
Licences;PL1027;Limited;.;.
Licences;PL1027;Limited;Operator - Partner only;.
Licences;PL1027;Limited;Operator only;.
Licences;PL1027;Meetings;.;.
Licences;PL1027;Procurement;.;.
Licences;PL1027;Procurement;Administration;.
Licences;PL1027;Procurement;Confidential;.
Licences;PL1027;Projects;.;.
Licences;PL1027;Projects;Development projects;.
Licences;PL1027;Projects;Other;.
Licences;PL1027;Strategies and plans;.;.
Licences;PL1027;Strategies and plans;Long term;.
Licences;PL1027;Strategies and plans;Short term;.
Licences;PL1027;Reporting;.;.
Licences;PL1027;Reporting;Monthly reports;.
Licences;PL1027;Reporting;HSE;.
Licences;PL1027;Reporting;Projects;.
Licences;PL1027;Reporting;Production;.
Licences;PL1027;Reporting;Subsurface;.
Licences;PL1027;Subsurface;.;.
Licences;PL1027;Subsurface;Geology and geophysics;.
Licences;PL1027;Subsurface;Reservoir;.
Licences;PL1027;Subsurface;Seismic;.
Licences;PL1027;Subsurface;Wells;.
Licences;PL1027;Subsurface;Common database;.
Licences;PL767;.;.;.
Licences;PL767;Agreements;.;.
Licences;PL767;Agreements;Commercial;.
Licences;PL767;Agreements;Ownership;.
Licences;PL767;Authorities;.;.
Licences;PL767;Authorities;MPE;.
Licences;PL767;Authorities;NPD;.
Licences;PL767;Authorities;PSA;.
Licences;PL767;Authorities;Other authorities;.
Licences;PL767;Financial;.;.
Licences;PL767;Financial;AFE;.
Licences;PL767;Financial;WPB;.
Licences;PL767;Financial;Cash calls;.
Licences;PL767;Financial;Estimates;.
Licences;PL767;Financial;Insurance;.
Licences;PL767;Financial;Lease accounting;.
Licences;PL767;Financial;Joint interest billing;.
Licences;PL767;Financial;RNB;.
Licences;PL767;Financial;Annual status report;.
Licences;PL767;General information;.;.
Licences;PL767;General information;Miscellaneous;.
Licences;PL767;General information;Miscellaneous;Deleted documents
Licences;PL767;General information;Miscellaneous;To be deleted
Licences;PL767;General information;3rd party information;.
