K1 ;K2;K3;K4;K5
Licences;PL1263;.;.;.
Licences;PL1263;Agreements;.;.
Licences;PL1263;Agreements;Commercial;.
Licences;PL1263;Agreements;Ownership;.
Licences;PL1263;Authorities;.;.
Licences;PL1263;Authorities;MPE;.
Licences;PL1263;Authorities;NPD;.
Licences;PL1263;Authorities;PSA;.
Licences;PL1263;Authorities;Other authorities;.
Licences;PL1263;Financial;.;.
Licences;PL1263;Financial;AFE;.
Licences;PL1263;Financial;WPB;.
Licences;PL1263;Financial;Cash calls;.
Licences;PL1263;Financial;Estimates;.
Licences;PL1263;Financial;Insurance;.
Licences;PL1263;Financial;Lease accounting;.
Licences;PL1263;Financial;Joint interest billing;.
Licences;PL1263;Financial;RNB;.
Licences;PL1263;Financial;Annual status report;.
Licences;PL1263;General information;.;.
Licences;PL1263;General information;Miscellaneous;.
Licences;PL1263;General information;Miscellaneous;Deleted documents
Licences;PL1263;General information;Miscellaneous;To be deleted
Licences;PL1263;General information;3rd party information;.
Licences;PL1263;General information;4th party information;.
Licences;PL1263;General information;4th party information;Publications
Licences;PL1263;General information;5th party information;.
Licences;PL1263;General information;5th party information;Press releases
Licences;PL1263;HSEQ;.;.
Licences;PL1263;HSEQ;Audits;.
Licences;PL1263;HSEQ;Incidents;.
Licences;PL1263;HSEQ;Plans and policies;.
Licences;PL1263;HSEQ;Statistics;.
Licences;PL1263;HSEQ;Studies;.
Licences;PL1263;Limited;.;.
Licences;PL1263;Limited;Operator - Partner only;.
Licences;PL1263;Limited;Operator only;.
Licences;PL1263;Meetings;.;.
Licences;PL1263;Procurement;.;.
Licences;PL1263;Procurement;Administration;.
Licences;PL1263;Procurement;Confidential;.
Licences;PL1263;Projects;.;.
Licences;PL1263;Projects;Development projects;.
Licences;PL1263;Projects;Other;.
Licences;PL1263;Strategies and plans;.;.
Licences;PL1263;Strategies and plans;Long term;.
Licences;PL1263;Strategies and plans;Short term;.
Licences;PL1263;Reporting;.;.
Licences;PL1263;Reporting;Monthly reports;.
Licences;PL1263;Reporting;HSE;.
Licences;PL1263;Reporting;Projects;.
Licences;PL1263;Reporting;Production;.
Licences;PL1263;Reporting;Subsurface;.
Licences;PL1263;Subsurface;.;.
Licences;PL1263;Subsurface;Geology and geophysics;.
Licences;PL1263;Subsurface;Reservoir;.
Licences;PL1263;Subsurface;Seismic;.
Licences;PL1263;Subsurface;Wells;.
Licences;PL1263;Subsurface;Common database;.
Licences;PL1243;.;.;.
Licences;PL1243;Agreements;.;.
Licences;PL1243;Agreements;Commercial;.
Licences;PL1243;Agreements;Ownership;.
Licences;PL1243;Authorities;.;.
Licences;PL1243;Authorities;MPE;.
Licences;PL1243;Authorities;NPD;.
Licences;PL1243;Authorities;PSA;.
Licences;PL1243;Authorities;Other authorities;.
Licences;PL1243;Financial;.;.
Licences;PL1243;Financial;AFE;.
Licences;PL1243;Financial;WPB;.
Licences;PL1243;Financial;Cash calls;.
Licences;PL1243;Financial;Estimates;.
Licences;PL1243;Financial;Insurance;.
Licences;PL1243;Financial;Lease accounting;.
Licences;PL1243;Financial;Joint interest billing;.
Licences;PL1243;Financial;RNB;.
Licences;PL1243;Financial;Annual status report;.
Licences;PL1243;General information;.;.
