Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Information types,,1033,,,Agreements, , ,,,,
,,1033,,,Agreements,Commercial, ,,,,
,,1033,,,Agreements,Ownership, ,,,,
,,1033,,,Authorities, , ,,,,
,,1033,,,Authorities,MPE, ,,,,
,,1033,,,Authorities,NPD, ,,,,
,,1033,,,Authorities,PSA, ,,,,
,,1033,,,Authorities,Other authorities, ,,,,
,,1033,,,Financial, , ,,,,
,,1033,,,Financial,AFE, ,,,,
,,1033,,,Financial,WPB, ,,,,
,,1033,,,Financial,Cash calls, ,,,,
,,1033,,,Financial,Estimates, ,,,,
,,1033,,,Financial,Insurance, ,,,,
,,1033,,,Financial,Lease accounting, ,,,,
,,1033,,,Financial,Joint interest billing, ,,,,
,,1033,,,Financial,RNB, ,,,,
,,1033,,,Financial,Annual status report, ,,,,
,,1033,,,General information, , ,,,,
,,1033,,,General information,Miscellaneous, ,,,,
,,1033,,,General information,Miscellaneous,Deleted documents,,,,
,,1033,,,General information,Miscellaneous,To be deleted,,,,
,,1033,,,General information,3rd party information, ,,,,
,,1033,,,General information,4th party information, ,,,,
,,1033,,,General information,4th party information,Publications,,,,
,,1033,,,General information,5th party information, ,,,,
,,1033,,,General information,5th party information,Press releases,,,,
,,1033,,,HSEQ, , ,,,,
,,1033,,,HSEQ,Audits, ,,,,
,,1033,,,HSEQ,Incidents, ,,,,
,,1033,,,HSEQ,Plans and policies, ,,,,
,,1033,,,HSEQ,Statistics, ,,,,
,,1033,,,HSEQ,Studies, ,,,,
,,1033,,,Limited, , ,,,,
,,1033,,,Limited,Operator - Partner only, ,,,,
,,1033,,,Limited,Operator only, ,,,,
,,1033,,,Meetings, , ,,,,
,,1033,,,Procurement, , ,,,,
,,1033,,,Procurement,Administration, ,,,,
,,1033,,,Procurement,Confidential, ,,,,
,,1033,,,Projects, , ,,,,
,,1033,,,Projects,Development projects, ,,,,
,,1033,,,Projects,Other, ,,,,
,,1033,,,Strategies and plans, , ,,,,
,,1033,,,Strategies and plans,Long term, ,,,,
,,1033,,,Strategies and plans,Short term, ,,,,
,,1033,,,Reporting, , ,,,,
,,1033,,,Reporting,Monthly reports, ,,,,
,,1033,,,Reporting,HSE, ,,,,
,,1033,,,Reporting,Projects, ,,,,
,,1033,,,Reporting,Production, ,,,,
,,1033,,,Reporting,Subsurface, ,,,,
,,1033,,,Subsurface, , ,,,,
,,1033,,,Subsurface,Geology and geophysics, ,,,,
,,1033,,,Subsurface,Reservoir, ,,,,
,,1033,,,Subsurface,Seismic, ,,,,
,,1033,,,Subsurface,Wells, ,,,,
,,1033,,,Subsurface,Common database, ,,,,
