K1 ;K2;K3;K4;K5
Lisences;PL057;.;.;.
Lisences;PL057;Agreements;.;.
Lisences;PL057;Agreements;Commercial;.
Lisences;PL057;Agreements;Ownership;.
Lisences;PL057;Authorities;.;.
Lisences;PL057;Authorities;MPE;.
Lisences;PL057;Authorities;NPD;.
Lisences;PL057;Authorities;PSA;.
Lisences;PL057;Authorities;Other authorities;.
Lisences;PL057;Financial;.;.
Lisences;PL057;Financial;AFE;.
Lisences;PL057;Financial;WPB;.
Lisences;PL057;Financial;Cash calls;.
Lisences;PL057;Financial;Estimates;.
Lisences;PL057;Financial;Insurance;.
Lisences;PL057;Financial;Lease accounting;.
Lisences;PL057;Financial;Joint interest billing;.
Lisences;PL057;Financial;RNB;.
Lisences;PL057;Financial;Annual status report;.
Lisences;PL057;General information;.;.
Lisences;PL057;General information;Miscellaneous;.
Lisences;PL057;General information;Miscellaneous;Deleted documents
Lisences;PL057;General information;Miscellaneous;To be deleted
Lisences;PL057;General information;3rd party information;.
Lisences;PL057;General information;4th party information;.
Lisences;PL057;General information;4th party information;Publications
Lisences;PL057;General information;5th party information;.
Lisences;PL057;General information;5th party information;Press releases
Lisences;PL057;HSEQ;.;.
Lisences;PL057;HSEQ;Audits;.
Lisences;PL057;HSEQ;Incidents;.
Lisences;PL057;HSEQ;Plans and policies;.
Lisences;PL057;HSEQ;Statistics;.
Lisences;PL057;HSEQ;Studies;.
Lisences;PL057;Limited;.;.
Lisences;PL057;Limited;Operator - Partner only;.
Lisences;PL057;Limited;Operator only;.
Lisences;PL057;Meetings;.;.
Lisences;PL057;Procurement;.;.
Lisences;PL057;Procurement;Administration;.
Lisences;PL057;Procurement;Confidential;.
Lisences;PL057;Projects;.;.
Lisences;PL057;Projects;Development projects;.
Lisences;PL057;Projects;Other;.
Lisences;PL057;Strategies and plans;.;.
Lisences;PL057;Strategies and plans;Long term;.
Lisences;PL057;Strategies and plans;Short term;.
Lisences;PL057;Reporting;.;.
Lisences;PL057;Reporting;Monthly reports;.
Lisences;PL057;Reporting;HSE;.
Lisences;PL057;Reporting;Projects;.
Lisences;PL057;Reporting;Production;.
Lisences;PL057;Reporting;Subsurface;.
Lisences;PL057;Subsurface;.;.
Lisences;PL057;Subsurface;Geology and geophysics;.
Lisences;PL057;Subsurface;Reservoir;.
Lisences;PL057;Subsurface;Seismic;.
Lisences;PL057;Subsurface;Wells;.
Lisences;PL057;Subsurface;Common database;.
Lisences;PL089;.;.;.
Lisences;PL089;Agreements;.;.
Lisences;PL089;Agreements;Commercial;.
Lisences;PL089;Agreements;Ownership;.
Lisences;PL089;Authorities;.;.
Lisences;PL089;Authorities;MPE;.
Lisences;PL089;Authorities;NPD;.
Lisences;PL089;Authorities;PSA;.
Lisences;PL089;Authorities;Other authorities;.
Lisences;PL089;Financial;.;.
Lisences;PL089;Financial;AFE;.
Lisences;PL089;Financial;WPB;.
Lisences;PL089;Financial;Cash calls;.
Lisences;PL089;Financial;Estimates;.
Lisences;PL089;Financial;Insurance;.
Lisences;PL089;Financial;Lease accounting;.
Lisences;PL089;Financial;Joint interest billing;.
Lisences;PL089;Financial;RNB;.
Lisences;PL089;Financial;Annual status report;.
Lisences;PL089;General information;.;.
Lisences;PL089;General information;Miscellaneous;.
Lisences;PL089;General information;Miscellaneous;Deleted documents
Lisences;PL089;General information;Miscellaneous;To be deleted
Lisences;PL089;General information;3rd party information;.
Lisences;PL089;General information;4th party information;.
Lisences;PL089;General information;4th party information;Publications
Lisences;PL089;General information;5th party information;.
Lisences;PL089;General information;5th party information;Press releases
Lisences;PL089;HSEQ;.;.
Lisences;PL089;HSEQ;Audits;.
Lisences;PL089;HSEQ;Incidents;.
Lisences;PL089;HSEQ;Plans and policies;.
Lisences;PL089;HSEQ;Statistics;.
Lisences;PL089;HSEQ;Studies;.
Lisences;PL089;Limited;.;.
Lisences;PL089;Limited;Operator - Partner only;.
Lisences;PL089;Limited;Operator only;.
Lisences;PL089;Meetings;.;.
Lisences;PL089;Procurement;.;.
Lisences;PL089;Procurement;Administration;.
Lisences;PL089;Procurement;Confidential;.
Lisences;PL089;Projects;.;.
Lisences;PL089;Projects;Development projects;.
Lisences;PL089;Projects;Other;.
Lisences;PL089;Strategies and plans;.;.
Lisences;PL089;Strategies and plans;Long term;.
Lisences;PL089;Strategies and plans;Short term;.
Lisences;PL089;Reporting;.;.
Lisences;PL089;Reporting;Monthly reports;.
Lisences;PL089;Reporting;HSE;.
Lisences;PL089;Reporting;Projects;.
Lisences;PL089;Reporting;Production;.
Lisences;PL089;Reporting;Subsurface;.
Lisences;PL089;Subsurface;.;.
Lisences;PL089;Subsurface;Geology and geophysics;.
Lisences;PL089;Subsurface;Reservoir;.
Lisences;PL089;Subsurface;Seismic;.
Lisences;PL089;Subsurface;Wells;.
Lisences;PL089;Subsurface;Common database;.
Lisences;PL090;.;.;.
Lisences;PL090;Agreements;.;.
Lisences;PL090;Agreements;Commercial;.
Lisences;PL090;Agreements;Ownership;.
Lisences;PL090;Authorities;.;.
Lisences;PL090;Authorities;MPE;.
