K1 ;K2;K3;K4;K5
Licences;BA_VEGA;.;.;.
Licences;BA_VEGA;Agreements;.;.
Licences;BA_VEGA;Agreements;Commercial;.
Licences;BA_VEGA;Agreements;Ownership;.
Licences;BA_VEGA;Authorities;.;.
Licences;BA_VEGA;Authorities;MPE;.
Licences;BA_VEGA;Authorities;NPD;.
Licences;BA_VEGA;Authorities;PSA;.
Licences;BA_VEGA;Authorities;Other authorities;.
Licences;BA_VEGA;Financial;.;.
Licences;BA_VEGA;Financial;AFE;.
Licences;BA_VEGA;Financial;WPB;.
Licences;BA_VEGA;Financial;Cash calls;.
Licences;BA_VEGA;Financial;Estimates;.
Licences;BA_VEGA;Financial;Insurance;.
Licences;BA_VEGA;Financial;Lease accounting;.
Licences;BA_VEGA;Financial;Joint interest billing;.
Licences;BA_VEGA;Financial;RNB;.
Licences;BA_VEGA;Financial;Annual status report;.
Licences;BA_VEGA;General information;.;.
Licences;BA_VEGA;General information;Miscellaneous;.
Licences;BA_VEGA;General information;Miscellaneous;Deleted documents
Licences;BA_VEGA;General information;Miscellaneous;To be deleted
Licences;BA_VEGA;General information;3rd party information;.
Licences;BA_VEGA;General information;4th party information;.
Licences;BA_VEGA;General information;4th party information;Publications
Licences;BA_VEGA;General information;5th party information;.
Licences;BA_VEGA;General information;5th party information;Press releases
Licences;BA_VEGA;HSEQ;.;.
Licences;BA_VEGA;HSEQ;Audits;.
Licences;BA_VEGA;HSEQ;Incidents;.
Licences;BA_VEGA;HSEQ;Plans and policies;.
Licences;BA_VEGA;HSEQ;Statistics;.
Licences;BA_VEGA;HSEQ;Studies;.
Licences;BA_VEGA;Limited;.;.
Licences;BA_VEGA;Limited;Operator - Partner only;.
Licences;BA_VEGA;Limited;Operator only;.
Licences;BA_VEGA;Meetings;.;.
Licences;BA_VEGA;Procurement;.;.
Licences;BA_VEGA;Procurement;Administration;.
Licences;BA_VEGA;Procurement;Confidential;.
Licences;BA_VEGA;Projects;.;.
Licences;BA_VEGA;Projects;Development projects;.
Licences;BA_VEGA;Projects;Other;.
Licences;BA_VEGA;Strategies and plans;.;.
Licences;BA_VEGA;Strategies and plans;Long term;.
Licences;BA_VEGA;Strategies and plans;Short term;.
Licences;BA_VEGA;Reporting;.;.
Licences;BA_VEGA;Reporting;Monthly reports;.
Licences;BA_VEGA;Reporting;HSE;.
Licences;BA_VEGA;Reporting;Projects;.
Licences;BA_VEGA;Reporting;Production;.
Licences;BA_VEGA;Reporting;Subsurface;.
Licences;BA_VEGA;Subsurface;.;.
Licences;BA_VEGA;Subsurface;Geology and geophysics;.
Licences;BA_VEGA;Subsurface;Reservoir;.
Licences;BA_VEGA;Subsurface;Seismic;.
Licences;BA_VEGA;Subsurface;Wells;.
Licences;BA_VEGA;Subsurface;Common database;.
Licences;TL_Knarr_Gas_Pipeline;.;.;.
Licences;TL_Knarr_Gas_Pipeline;Agreements;.;.
Licences;TL_Knarr_Gas_Pipeline;Agreements;Commercial;.
Licences;TL_Knarr_Gas_Pipeline;Agreements;Ownership;.
Licences;TL_Knarr_Gas_Pipeline;Authorities;.;.
Licences;TL_Knarr_Gas_Pipeline;Authorities;MPE;.
Licences;TL_Knarr_Gas_Pipeline;Authorities;NPD;.
Licences;TL_Knarr_Gas_Pipeline;Authorities;PSA;.
Licences;TL_Knarr_Gas_Pipeline;Authorities;Other authorities;.
Licences;TL_Knarr_Gas_Pipeline;Financial;.;.
Licences;TL_Knarr_Gas_Pipeline;Financial;AFE;.
Licences;TL_Knarr_Gas_Pipeline;Financial;WPB;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Cash calls;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Estimates;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Insurance;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Lease accounting;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Joint interest billing;.
Licences;TL_Knarr_Gas_Pipeline;Financial;RNB;.
Licences;TL_Knarr_Gas_Pipeline;Financial;Annual status report;.
Licences;TL_Knarr_Gas_Pipeline;General information;.;.
Licences;TL_Knarr_Gas_Pipeline;General information;Miscellaneous;.
Licences;TL_Knarr_Gas_Pipeline;General information;Miscellaneous;Deleted documents
Licences;TL_Knarr_Gas_Pipeline;General information;Miscellaneous;To be deleted
Licences;TL_Knarr_Gas_Pipeline;General information;3rd party information;.
Licences;TL_Knarr_Gas_Pipeline;General information;4th party information;.
Licences;TL_Knarr_Gas_Pipeline;General information;4th party information;Publications
Licences;TL_Knarr_Gas_Pipeline;General information;5th party information;.
Licences;TL_Knarr_Gas_Pipeline;General information;5th party information;Press releases
Licences;TL_Knarr_Gas_Pipeline;HSEQ;.;.
Licences;TL_Knarr_Gas_Pipeline;HSEQ;Audits;.
Licences;TL_Knarr_Gas_Pipeline;HSEQ;Incidents;.
Licences;TL_Knarr_Gas_Pipeline;HSEQ;Plans and policies;.
Licences;TL_Knarr_Gas_Pipeline;HSEQ;Statistics;.
Licences;TL_Knarr_Gas_Pipeline;HSEQ;Studies;.
Licences;TL_Knarr_Gas_Pipeline;Limited;.;.
Licences;TL_Knarr_Gas_Pipeline;Limited;Operator - Partner only;.
Licences;TL_Knarr_Gas_Pipeline;Limited;Operator only;.
Licences;TL_Knarr_Gas_Pipeline;Meetings;.;.
Licences;TL_Knarr_Gas_Pipeline;Procurement;.;.
Licences;TL_Knarr_Gas_Pipeline;Procurement;Administration;.
Licences;TL_Knarr_Gas_Pipeline;Procurement;Confidential;.
Licences;TL_Knarr_Gas_Pipeline;Projects;.;.
Licences;TL_Knarr_Gas_Pipeline;Projects;Development projects;.
Licences;TL_Knarr_Gas_Pipeline;Projects;Other;.
Licences;TL_Knarr_Gas_Pipeline;Strategies and plans;.;.
Licences;TL_Knarr_Gas_Pipeline;Strategies and plans;Long term;.
Licences;TL_Knarr_Gas_Pipeline;Strategies and plans;Short term;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;.;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;Monthly reports;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;HSE;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;Projects;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;Production;.
Licences;TL_Knarr_Gas_Pipeline;Reporting;Subsurface;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;.;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;Geology and geophysics;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;Reservoir;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;Seismic;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;Wells;.
Licences;TL_Knarr_Gas_Pipeline;Subsurface;Common database;.
Licences;TL_OF;.;.;.
Licences;TL_OF;Agreements;.;.
Licences;TL_OF;Agreements;Commercial;.
Licences;TL_OF;Agreements;Ownership;.
Licences;TL_OF;Authorities;.;.
Licences;TL_OF;Authorities;MPE;.
Licences;TL_OF;Authorities;NPD;.
Licences;TL_OF;Authorities;PSA;.
Licences;TL_OF;Authorities;Other authorities;.
Licences;TL_OF;Financial;.;.
Licences;TL_OF;Financial;AFE;.
Licences;TL_OF;Financial;WPB;.
Licences;TL_OF;Financial;Cash calls;.
Licences;TL_OF;Financial;Estimates;.
Licences;TL_OF;Financial;Insurance;.
Licences;TL_OF;Financial;Lease accounting;.
Licences;TL_OF;Financial;Joint interest billing;.
Licences;TL_OF;Financial;RNB;.
Licences;TL_OF;Financial;Annual status report;.
Licences;TL_OF;General information;.;.
Licences;TL_OF;General information;Miscellaneous;.
Licences;TL_OF;General information;Miscellaneous;Deleted documents
Licences;TL_OF;General information;Miscellaneous;To be deleted
Licences;TL_OF;General information;3rd party information;.
Licences;TL_OF;General information;4th party information;.
Licences;TL_OF;General information;4th party information;Publications
Licences;TL_OF;General information;5th party information;.
Licences;TL_OF;General information;5th party information;Press releases
Licences;TL_OF;HSEQ;.;.
Licences;TL_OF;HSEQ;Audits;.
Licences;TL_OF;HSEQ;Incidents;.
Licences;TL_OF;HSEQ;Plans and policies;.
Licences;TL_OF;HSEQ;Statistics;.
Licences;TL_OF;HSEQ;Studies;.
Licences;TL_OF;Limited;.;.
Licences;TL_OF;Limited;Operator - Partner only;.
Licences;TL_OF;Limited;Operator only;.
Licences;TL_OF;Meetings;.;.
Licences;TL_OF;Procurement;.;.
Licences;TL_OF;Procurement;Administration;.
Licences;TL_OF;Procurement;Confidential;.
Licences;TL_OF;Projects;.;.
Licences;TL_OF;Projects;Development projects;.
Licences;TL_OF;Projects;Other;.
Licences;TL_OF;Strategies and plans;.;.
Licences;TL_OF;Strategies and plans;Long term;.
Licences;TL_OF;Strategies and plans;Short term;.
Licences;TL_OF;Reporting;.;.
Licences;TL_OF;Reporting;Monthly reports;.
Licences;TL_OF;Reporting;HSE;.
Licences;TL_OF;Reporting;Projects;.
Licences;TL_OF;Reporting;Production;.
Licences;TL_OF;Reporting;Subsurface;.
Licences;TL_OF;Subsurface;.;.
Licences;TL_OF;Subsurface;Geology and geophysics;.
Licences;TL_OF;Subsurface;Reservoir;.
Licences;TL_OF;Subsurface;Seismic;.
Licences;TL_OF;Subsurface;Wells;.
Licences;TL_OF;Subsurface;Common database;.
